doc_id,strand,origin,source_type,query_topic,title,auto_label,auto_reason,reviewed_label,reviewer_note
py01-basics/arxiv_byzantine-resilient_sgd_in_high_dimensions_on_hete,py01-basics,automatic,paper,Data types,Byzantine-Resilient SGD in High Dimensions on Heterogeneous Data,off_topic,"python=0, programming_terms=0",,
py01-basics/arxiv_data_encoding_for_byzantine-resilient_distributed_,py01-basics,automatic,paper,Data types,Data Encoding for Byzantine-Resilient Distributed Optimization,off_topic,"python=0, programming_terms=0",,
py01-basics/arxiv_epython_an_implementation_of_python_for_the_many-c,py01-basics,automatic,paper,Python basics,ePython: An implementation of Python for the many-core Epiphany coprocessor,on_topic,mentions Python 9 times,off_topic,"PROPOSED 2026-09-17, author to confirm: Python runtime for coprocessor hardware; not introductory material"
py01-basics/arxiv_multipartite_greenberger-horne-zeilinger_paradoxes,py01-basics,automatic,paper,Variables,Multipartite Greenberger-Horne-Zeilinger paradoxes for continuous variables,off_topic,"python=0, programming_terms=0",,
py01-basics/arxiv_social_network_analysis_from_graph_theory_to_appli,py01-basics,automatic,paper,Python basics,Social Network Analysis: From Graph Theory to Applications with Python,on_topic,mentions Python 3 times,off_topic,"PROPOSED 2026-09-17, author to confirm: graph analytics paper; uses Python, does not teach it"
py01-basics/arxiv_variability_periodicity_and_contact_binaries_in_wi,py01-basics,automatic,paper,Variables,"Variability, periodicity and contact binaries in WISE",off_topic,"python=0, programming_terms=0",,
py01-basics/basic_inputoutput,py01-basics,automatic,wikipedia,Basic input/output,BIOS,off_topic,"python=0, programming_terms=2",,
py01-basics/data_types,py01-basics,automatic,wikipedia,Data types,Data type,on_topic,"Wikipedia, 34 programming terms",,
py01-basics/pydocs_inputoutput,py01-basics,curated,tutorial,,7.Input and Output,on_topic,curated Python documentation,,
py01-basics/pydocs_introduction,py01-basics,curated,tutorial,,3.An Informal Introduction to Python,on_topic,curated Python documentation,,
py01-basics/python_basics,py01-basics,automatic,wikipedia,Python basics,Expect,on_topic,mentions Python 5 times,off_topic,"PROPOSED 2026-09-17, author to confirm: Unix automation tool; mentions Python only via Pexpect"
py01-basics/variables,py01-basics,automatic,wikipedia,Variables,Variable (high-level programming language),on_topic,mentions Python 5 times,,
py01-basics/variables_and_operators,py01-basics,automatic,wikipedia,Variables and operators,Free variables and bound variables,off_topic,"python=0, programming_terms=2",,
py02-control-flow/arxiv_coxeter-chein_loops,py02-control-flow,automatic,paper,Loops,Coxeter-Chein Loops,off_topic,"python=0, programming_terms=0",,
py02-control-flow/arxiv_de_finettian_logics_of_indicative_conditionals,py02-control-flow,automatic,paper,Conditional statements,De Finettian Logics of Indicative Conditionals,off_topic,"python=0, programming_terms=0",,
py02-control-flow/arxiv_introductory_topics_in_binary_set_functions,py02-control-flow,automatic,paper,Functions,Introductory Topics in Binary Set Functions,off_topic,"python=0, programming_terms=0",,
py02-control-flow/arxiv_monotonicity_properties_and_functional_inequalitie,py02-control-flow,automatic,paper,Functions,Monotonicity Properties and functional inequalities for the Volterra and incomplete Volterra functions,off_topic,"python=0, programming_terms=0",,
py02-control-flow/arxiv_on_translating_conditional_statements_into_mathema,py02-control-flow,automatic,paper,Conditional statements,On translating conditional statements into mathematical logic,off_topic,"python=0, programming_terms=0",,
py02-control-flow/arxiv_three-loop_results_in_hqet,py02-control-flow,automatic,paper,Loops,Three-loop results in HQET,off_topic,"python=0, programming_terms=0",,
py02-control-flow/conditional_statements,py02-control-flow,automatic,wikipedia,Conditional statements,Material conditional,off_topic,"python=0, programming_terms=0",,
py02-control-flow/flow_control,py02-control-flow,automatic,wikipedia,Flow control,Control flow,on_topic,mentions Python 8 times,,
py02-control-flow/functions,py02-control-flow,automatic,wikipedia,Functions,Function key,off_topic,"python=0, programming_terms=0",,
py02-control-flow/indentation,py02-control-flow,automatic,wikipedia,Indentation,Indentation style,on_topic,"Wikipedia, 25 programming terms",,
py02-control-flow/pydocs_controlflow,py02-control-flow,curated,tutorial,,4.More Control Flow Tools,on_topic,curated Python documentation,,
py03-data-structures/arxiv_dilations_of_unitary_tuples,py03-data-structures,automatic,paper,Tuples,Dilations of unitary tuples,off_topic,"python=0, programming_terms=0",,
py03-data-structures/arxiv_dynamics_of_tuples_of_complex_upper_triangular_toe,py03-data-structures,automatic,paper,Tuples,Dynamics of tuples of complex upper triangular Toeplitz matrices,off_topic,"python=0, programming_terms=0",,
py03-data-structures/arxiv_incoherent_dictionaries_and_the_statistical_restri,py03-data-structures,automatic,paper,Dictionaries,Incoherent dictionaries and the statistical restricted isometry property,off_topic,"python=0, programming_terms=0",,
py03-data-structures/arxiv_learning_certifiably_optimal_rule_lists_for_catego,py03-data-structures,automatic,paper,Lists,Learning Certifiably Optimal Rule Lists for Categorical Data,off_topic,"python=0, programming_terms=0",,
py03-data-structures/arxiv_sets_lists_and_noncrossing_partitions,py03-data-structures,automatic,paper,Lists,"Sets, Lists and Noncrossing Partitions",off_topic,"python=0, programming_terms=0",,
py03-data-structures/arxiv_wavelet_based_dictionaries_for_piecewise_dimension,py03-data-structures,automatic,paper,Dictionaries,Wavelet Based Dictionaries for Piecewise Dimensionality Reduction of ECG Signals,off_topic,"python=0, programming_terms=0",,
py03-data-structures/dictionaries,py03-data-structures,automatic,wikipedia,Dictionaries,Dictionary,off_topic,"python=0, programming_terms=0",,
py03-data-structures/list_comprehensions,py03-data-structures,automatic,wikipedia,List comprehensions,List comprehension,on_topic,mentions Python 12 times,,
py03-data-structures/lists,py03-data-structures,automatic,wikipedia,Lists,List of lists of lists,off_topic,"python=0, programming_terms=0",,
py03-data-structures/pydocs_datastructures,py03-data-structures,curated,tutorial,,5.Data Structures,on_topic,curated Python documentation,,
py03-data-structures/sets,py03-data-structures,automatic,wikipedia,Sets,Set (mathematics),off_topic,"python=0, programming_terms=0",,
py03-data-structures/tuples,py03-data-structures,automatic,wikipedia,Tuples,Tuple,off_topic,"python=0, programming_terms=0",,
py04-oop/arxiv_align-deform-subtract_an_interventional_framework_,py04-oop,automatic,paper,Objects,Align-Deform-Subtract: An Interventional Framework for Explaining Object Differences,off_topic,"python=0, programming_terms=0",,
py04-oop/arxiv_binding_actions_to_objects_in_world_models,py04-oop,automatic,paper,Objects,Binding Actions to Objects in World Models,off_topic,"python=0, programming_terms=0",,
py04-oop/arxiv_diophantine_inheritance_for_p-adic_measures,py04-oop,automatic,paper,Inheritance,Diophantine inheritance for p-adic measures,off_topic,"python=0, programming_terms=0",,
py04-oop/arxiv_refined_chern_characteristic_classes_of_blow-ups,py04-oop,automatic,paper,Classes,Refined Chern characteristic classes of blow-ups,off_topic,"python=0, programming_terms=0",,
py04-oop/arxiv_structure_constants_for_chern_classes_of_schubert_,py04-oop,automatic,paper,Classes,Structure constants for Chern classes of Schubert cells,off_topic,"python=0, programming_terms=0",,
py04-oop/arxiv_understanding_and_mitigating_bias_inheritance_in_l,py04-oop,automatic,paper,Inheritance,Understanding and Mitigating Bias Inheritance in LLM-based Data Augmentation on Downstream Tasks,off_topic,"python=0, programming_terms=0",,
py04-oop/classes,py04-oop,automatic,wikipedia,Classes,Class (taxonomy),off_topic,"python=0, programming_terms=0",,
py04-oop/encapsulation_and_abstraction,py04-oop,automatic,wikipedia,Encapsulation and abstraction,Abstraction (computer science),on_topic,"Wikipedia, 41 programming terms",,
py04-oop/inheritance,py04-oop,automatic,wikipedia,Inheritance,Inheritance,off_topic,"python=0, programming_terms=0",,
py04-oop/objects,py04-oop,automatic,wikipedia,Objects,Subject and object (philosophy),off_topic,"python=0, programming_terms=0",,
py04-oop/polymorphism,py04-oop,automatic,wikipedia,Polymorphism,Polymorphism (computer science),on_topic,"Wikipedia, 17 programming terms",,
py04-oop/pydocs_classes,py04-oop,curated,tutorial,,9.Classes,on_topic,curated Python documentation,,
